date,max_temperature_s,max_wind_speed_s,min_temperature_s,min_wind_speed_s,rain_s,snow_on_ground_v
2024-05-21,3.83,7.5,2.98,5.08,6.83,0
2024-05-20,3.93,7.63,2.99,5.21,6.71,0
2024-05-19,4.03,7.72,3.03,5.46,6.91,0
2024-05-18,4.02,7.64,3.08,5.68,6.71,0
2024-05-17,4.1,8.17,3.07,5.85,6.91,0
2024-05-16,4.15,8.37,3.05,5.92,6.99,0
2024-05-15,4.15,8.37,3.1,6.15,6.93,0
2024-05-14,4.19,8.5,3.1,6.19,6.21,0
2024-05-13,4.22,8.41,3.17,6.23,6.34,0
2024-05-12,4.24,8.59,3.14,6.12,5.9,0
2024-05-11,4.21,8.64,3.12,6.09,5.81,0
2024-05-10,4.26,8.6,3.12,6,6.15,0
2024-05-09,4.24,8.53,3.07,6,6.19,0
2024-05-08,4.26,8.47,3.04,5.99,6.1,0.1
2024-05-07,4.31,8.44,3.07,6.11,6.02,0.1
2024-05-06,4.38,8.6,3.09,6.32,5.81,0.2
2024-05-05,4.38,9.03,3.09,6.34,6.08,0.2
2024-05-04,4.3,9.13,3.08,6.21,6.3,0.2
2024-05-03,4.25,9.28,3.04,6.13,6.38,0.3
2024-05-02,4.21,8.92,3.03,6.17,6.16,0.4
2024-05-01,4.16,8.81,3.02,6.26,6.07,0.5
2024-04-30,4.15,8.81,2.95,6.18,6.03,0.8
2024-04-29,4.1,8.75,2.9,6.17,6.06,1.1
2024-04-28,4.11,8.78,2.83,6.25,5.88,1.5
2024-04-27,4.05,8.81,2.83,6.28,5.83,2
2024-04-26,4.02,8.85,2.93,6.37,5.84,2.5
2024-04-25,3.95,8.99,3.02,6.53,5.24,3.1
2024-04-24,3.98,9.24,3.13,6.68,5.25,3.8
2024-04-23,3.99,9.24,3.26,6.67,5.33,4.5
2024-04-22,4.02,9.31,3.34,6.66,5.43,5.2
2024-04-21,4.01,9.35,3.31,6.54,5.35,6.1
2024-04-20,3.97,9.17,3.31,6.45,5.02,7.1
2024-04-19,3.94,9.35,3.35,6.45,4.55,8.1
2024-04-18,3.95,9.55,3.35,6.49,4.4,9.1
2024-04-17,3.91,9.8,3.34,6.39,4.53,10.2
2024-04-16,3.95,9.84,3.4,6.32,4.49,11.4
2024-04-15,4.02,10.1,3.53,6.32,4.39,12.5
2024-04-14,4.01,10.08,3.61,6.33,5.48,13.6
2024-04-13,4.05,10.27,3.68,6.71,5.49,14.7
2024-04-12,4.16,10.38,3.76,6.85,5.42,15.9
2024-04-11,4.23,10.57,3.8,7.08,5.73,17.1
2024-04-10,4.17,10.83,3.84,7.37,5.74,18.3
2024-04-09,4.15,10.99,3.83,7.36,5.61,19.5
2024-04-08,4.15,10.97,3.83,7.47,5.58,20.8
2024-04-07,4.03,11.07,3.84,7.51,5.91,22.2
2024-04-06,4,11.15,3.94,7.61,6.28,23.5
2024-04-05,4.08,11.13,3.99,7.66,6.59,24.9
2024-04-04,4.15,11.02,4.05,7.75,6.45,26.3
2024-04-03,4.18,11.02,4.15,7.78,6.6,27.7
2024-04-02,4.17,11.2,4.27,7.79,6.36,29.3
2024-04-01,4.14,11.18,4.32,7.81,6.32,30.7
2024-03-31,4.08,11.23,4.33,7.96,6.3,31.7
2024-03-30,4.05,11.94,4.34,8.59,5.21,33.1
2024-03-29,4,12.55,4.32,8.5,5.2,34.5
2024-03-28,3.83,12.63,4.3,8.47,5.18,36
2024-03-27,3.75,12.68,4.31,8.36,4.84,37.5
2024-03-26,3.8,12.38,4.33,8.05,4.8,39
2024-03-25,3.78,12.24,4.32,7.97,4.76,40.5
2024-03-24,3.72,12.33,4.41,7.99,4.66,41.9
2024-03-23,3.77,12.41,4.5,8,4.15,43.4
2024-03-22,3.82,12.48,4.58,8,3.89,45
2024-03-21,3.81,12.57,4.63,8.05,3.55,46.6
2024-03-20,3.88,12.74,4.71,8.27,3.67,48.2
2024-03-19,3.89,12.74,4.75,8.33,3.33,49.8
